"algorithm","fun","dimension","ert","precision","rank"
"AVGNEWUOA",1,2,6,0.001,1
"NEWUOA",1,2,6.2,0.001,2
"BFGS",1,2,7,0.001,3.5
"FULLNEWUOA",1,2,7,0.001,3.5
"MCS",1,2,15.8,0.001,5
"Line Search - fminbnd",1,2,24.6,0.001,6
"fminsearch",1,2,30.66667,0.001,7
"Nelder-Doerr",1,2,31.86667,0.001,8
"Local Search - Rosenbrock",1,2,37.4,0.001,9
"(1 4_m^s) CMA-ES",1,2,69.26667,0.001,10
"(1+2_m^s) CMA-ES",1,2,78.93333,0.001,11
"(1 4^s) CMA-ES",1,2,80.93333,0.001,12
"(1+1) CMA-ES",1,2,83.13333,0.001,13
"One-Fifth Variant3",1,2,84.6,0.001,14
"(mu+lambda) CMA-ES",1,2,84.9,0.001,15
"iAMALGAM",1,2,86.4,0.001,16
"(1 4) CMA-ES",1,2,88.93333,0.001,17
"DIRECT",1,2,92.8,0.001,18
"(1 4_m) CMA-ES",1,2,99.4,0.001,19
"IPOP-ACTCMA-ES",1,2,103.2667,0.001,20
"(1 2_m^s) CMA-ES",1,2,103.6,0.001,21
"IPOP-SEP-CMA-ES",1,2,109.3333,0.001,22
"BIPOP-CMA-ES",1,2,116.3333,0.001,23
"IPOP-CMA-ES",1,2,117.8,0.001,24
"(1 2_m) CMA-ES",1,2,120.7333,0.001,25
"(1 2^s) CMA-ES",1,2,121.9333,0.001,26
"AMALGAM",1,2,135.3333,0.001,27
"G3PCX",1,2,141.0667,0.001,28
"(1 2) CMA-ES",1,2,149.3333,0.001,29
"SPSA",1,2,203.1333,0.001,30
"VNS",1,2,221.4667,0.001,31
"PM-AdapSS-DE",1,2,235.0667,0.001,32
"DE-F-AUC",1,2,244.3333,0.001,33
"DEuniform",1,2,271.8667,0.001,34
"CMA-EGS",1,2,291.6667,0.001,35
"Cauchy-EDA",1,2,301.7333,0.001,36
"DE-PSO",1,2,305.4,0.001,37
"EDA-PSO",1,2,319.6667,0.001,38
"GLOBAL",1,2,321.6,0.001,39
"DASA",1,2,370.6,0.001,40
"Artificial Bee Colony",1,2,373.3226,0.001,41
"MA-LS-CHAIN",1,2,404.2,0.001,42
"Line Search - STEP",1,2,409.6,0.001,43
"NBC-CMA",1,2,425.2667,0.001,44
"MOS",1,2,460.4,0.001,45
"BAYEDA",1,2,637.0714,0.001,46
"PSO",1,2,710.8667,0.001,47
"RCGA",1,2,1165,0.001,48
"PSO_Bounds",1,2,1626.867,0.001,49
"ALPS",1,2,1736.067,0.001,50
"POEMS",1,2,4072.667,0.001,51
"oPOEMS",1,2,4300.8,0.001,52
"Simple GA",1,2,6463.333,0.001,53
"nPOEMS",1,2,14887.4,0.001,54
"RANDOMSEARCH",1,2,35655.33,0.001,55
"AVGNEWUOA",1,2,6,1e-04,1
"NEWUOA",1,2,6.2,1e-04,2
"BFGS",1,2,7,1e-04,3.5
"FULLNEWUOA",1,2,7,1e-04,3.5
"MCS",1,2,15.8,1e-04,5
"Line Search - fminbnd",1,2,24.6,1e-04,6
"fminsearch",1,2,38,1e-04,7
"Nelder-Doerr",1,2,38.86667,1e-04,8
"Local Search - Rosenbrock",1,2,45.4,1e-04,9
"(1 4_m^s) CMA-ES",1,2,88.93333,1e-04,10
"(1+2_m^s) CMA-ES",1,2,97.4,1e-04,11
"(1 4^s) CMA-ES",1,2,101.2667,1e-04,12
"(1+1) CMA-ES",1,2,108.7333,1e-04,13
"(mu+lambda) CMA-ES",1,2,109.1667,1e-04,14
"One-Fifth Variant3",1,2,110,1e-04,15
