Algorithm Name,Function ID,Dimension,Year,Precision,ERT
ALPS,1,2,2009,1000.0,1.0
ALPS,1,2,2009,10,5.06666666667
ALPS,1,2,2009,0.1,316.533333333
ALPS,1,2,2009,0.001,1736.06666667
ALPS,1,2,2009,1e-05,3812.2
ALPS,1,2,2009,1e-08,6900.93333333
ALPS,1,5,2009,1000.0,1.0
ALPS,1,5,2009,10,101.533333333
ALPS,1,5,2009,0.1,3642.66666667
ALPS,1,5,2009,0.001,8316.2
ALPS,1,5,2009,1e-05,12598.1333333
ALPS,1,5,2009,1e-08,19530.6666667
ALPS,1,10,2009,1000.0,1.0
ALPS,1,10,2009,10,1842.6
ALPS,1,10,2009,0.1,9467.33333333
ALPS,1,10,2009,0.001,17851.2666667
ALPS,1,10,2009,1e-05,26370.5333333
ALPS,1,10,2009,1e-08,40251.2666667
ALPS,1,20,2009,1000.0,1.0
ALPS,1,20,2009,10,6370.2
ALPS,1,20,2009,0.1,22146.0666667
ALPS,1,20,2009,0.001,39378.2
ALPS,1,20,2009,1e-05,58339.6666667
ALPS,1,20,2009,1e-08,92306.6
ALPS,2,2,2009,1000.0,110.266666667
ALPS,2,2,2009,10,943.6
ALPS,2,2,2009,0.1,3190.73333333
ALPS,2,2,2009,0.001,5270.86666667
ALPS,2,2,2009,1e-05,7232.4
ALPS,2,2,2009,1e-08,10462.2
ALPS,2,5,2009,1000.0,2194.4
ALPS,2,5,2009,10,6100.86666667
ALPS,2,5,2009,0.1,10607.6666667
ALPS,2,5,2009,0.001,14836.0666667
ALPS,2,5,2009,1e-05,19640.8666667
ALPS,2,5,2009,1e-08,26618.8666667
ALPS,2,10,2009,1000.0,6943.53333333
ALPS,2,10,2009,10,14959.9333333
ALPS,2,10,2009,0.1,23868.8
ALPS,2,10,2009,0.001,33312.6
ALPS,2,10,2009,1e-05,43070.2
ALPS,2,10,2009,1e-08,61181.8
ALPS,2,20,2009,1000.0,16532.8666667
ALPS,2,20,2009,10,33920.3333333
ALPS,2,20,2009,0.1,52696.5333333
ALPS,2,20,2009,0.001,73853.2
ALPS,2,20,2009,1e-05,100149.333333
ALPS,2,20,2009,1e-08,201296.866667
ALPS,3,2,2009,1000.0,1.06666666667
ALPS,3,2,2009,10,134.733333333
ALPS,3,2,2009,0.1,2861.2
ALPS,3,2,2009,0.001,5601.6
ALPS,3,2,2009,1e-05,8477.73333333
ALPS,3,2,2009,1e-08,11942.6666667
ALPS,3,5,2009,1000.0,1.46666666667
ALPS,3,5,2009,10,4066.86666667
ALPS,3,5,2009,0.1,36616.0
ALPS,3,5,2009,0.001,42389.4666667
ALPS,3,5,2009,1e-05,48434.8
ALPS,3,5,2009,1e-08,59407.2
ALPS,3,10,2009,1000.0,2.6
ALPS,3,10,2009,10,19958.6
ALPS,3,10,2009,0.1,212289.2
ALPS,3,10,2009,0.001,221825.6
ALPS,3,10,2009,1e-05,244156.533333
ALPS,3,10,2009,1e-08,345184.8
ALPS,3,20,2009,1000.0,19.2666666667
ALPS,3,20,2009,10,253791.533333
ALPS,3,20,2009,0.1,1760911.2
ALPS,3,20,2009,0.001,2069891.26667
ALPS,3,20,2009,1e-05,3040799.73333
ALPS,3,20,2009,1e-08,inf
ALPS,4,2,2009,1000.0,1.0
ALPS,4,2,2009,10,195.866666667
ALPS,4,2,2009,0.1,3831.6
ALPS,4,2,2009,0.001,6107.6
ALPS,4,2,2009,1e-05,8995.2
ALPS,4,2,2009,1e-08,13063.7333333
ALPS,4,5,2009,1000.0,1.13333333333
ALPS,4,5,2009,10,5776.53333333
ALPS,4,5,2009,0.1,100238.8
ALPS,4,5,2009,0.001,104775.8
ALPS,4,5,2009,1e-05,111271.066667
ALPS,4,5,2009,1e-08,124194.6
ALPS,4,10,2009,1000.0,2.4
ALPS,4,10,2009,10,30975.0666667
ALPS,4,10,2009,0.1,612280.466667
ALPS,4,10,2009,0.001,634326.733333
ALPS,4,10,2009,1e-05,697656.6
ALPS,4,10,2009,1e-08,1153568.93333
ALPS,4,20,2009,1000.0,91.7333333333
ALPS,4,20,2009,10,688111.266667
ALPS,4,20,2009,0.1,inf
ALPS,4,20,2009,0.001,inf
ALPS,4,20,2009,1e-05,inf
ALPS,4,20,2009,1e-08,inf
ALPS,5,2,2009,1000.0,1.0
ALPS,5,2,2009,10,32.1333333333
ALPS,5,2,2009,0.1,439.666666667
ALPS,5,2,2009,0.001,456.533333333
ALPS,5,2,2009,1e-05,456.533333333
ALPS,5,2,2009,1e-08,456.533333333
ALPS,5,5,2009,1000.0,1.0
ALPS,5,5,2009,10,643.333333333
ALPS,5,5,2009,0.1,1590.13333333
ALPS,5,5,2009,0.001,1647.0
ALPS,5,5,2009,1e-05,1648.2
ALPS,5,5,2009,1e-08,1648.2
ALPS,5,10,2009,1000.0,1.0
ALPS,5,10,2009,10,2525.8
ALPS,5,10,2009,0.1,4482.73333333
ALPS,5,10,2009,0.001,5023.6
ALPS,5,10,2009,1e-05,5146.6
ALPS,5,10,2009,1e-08,5204.06666667
